dataset,model,metric,value
weather,LightGTS,LCS_clean,-0.10170251131057739
weather,LightGTS,LCS_noise,-0.10170251131057739
weather,LightGTS,LCS_mask,-0.10170251131057739
weather,LightGTS,LCS_warp,0.0
weather,LightGTS,TSI_noise,1.0
weather,LightGTS,TSI_mask,1.0
weather,LightGTS,TSI_warp,0.0
weather,LightGTS,GSP_noise,0.0
weather,LightGTS,GSP_mask,0.0
weather,LightGTS,GSP_warp,-0.10170251131057739
weather,LightGTS,FSS_spearman_h96_score,-0.9340036219974406
weather,LightGTS,PDS_spearman_mae_h96_score,-0.1323929961089494
weather,LightGTS,LTC_step,0.6432703137397766
weather,LightGTS,LTC_dir,-0.5484545230865479
weather,NeurIPS2023-One-Fits-All,LCS_clean,-0.11531463265419006
weather,NeurIPS2023-One-Fits-All,LCS_noise,-0.11531463265419006
weather,NeurIPS2023-One-Fits-All,LCS_mask,-0.11531463265419006
weather,NeurIPS2023-One-Fits-All,LCS_warp,0.0
weather,NeurIPS2023-One-Fits-All,TSI_noise,1.0
weather,NeurIPS2023-One-Fits-All,TSI_mask,1.0
weather,NeurIPS2023-One-Fits-All,TSI_warp,0.0
weather,NeurIPS2023-One-Fits-All,GSP_noise,0.0
weather,NeurIPS2023-One-Fits-All,GSP_mask,0.0
weather,NeurIPS2023-One-Fits-All,GSP_warp,-0.11531463265419006
weather,NeurIPS2023-One-Fits-All,FSS_spearman_h96_score,-0.9950784658633541
weather,NeurIPS2023-One-Fits-All,PDS_spearman_mae_h96_score,-0.33364685854886694
weather,NeurIPS2023-One-Fits-All,LTC_step,1.6849647760391235
weather,NeurIPS2023-One-Fits-All,LTC_dir,-0.37511202692985535
weather,Sundial,LCS_clean,-0.05291857570409775
weather,Sundial,LCS_noise,-0.05291857570409775
weather,Sundial,LCS_mask,-0.05291857570409775
weather,Sundial,LCS_warp,0.0
weather,Sundial,TSI_noise,1.0
weather,Sundial,TSI_mask,1.0
weather,Sundial,TSI_warp,0.0
weather,Sundial,GSP_noise,0.0
weather,Sundial,GSP_mask,0.0
weather,Sundial,GSP_warp,-0.05291857570409775
weather,Sundial,FSS_spearman_h96_score,-0.3275665444202217
weather,Sundial,PDS_spearman_mae_h96_score,-0.10573429274433507
weather,Sundial,LTC_step,5.604057312011719
weather,Sundial,LTC_dir,-0.5326858162879944
weather,Time-MoE,LCS_clean,-0.10307399183511734
weather,Time-MoE,LCS_noise,-0.10307399183511734
weather,Time-MoE,LCS_mask,-0.10307399183511734
weather,Time-MoE,LCS_warp,0.0
weather,Time-MoE,TSI_noise,1.0
weather,Time-MoE,TSI_mask,1.0
weather,Time-MoE,TSI_warp,0.0
weather,Time-MoE,GSP_noise,0.0
weather,Time-MoE,GSP_mask,0.0
weather,Time-MoE,GSP_warp,-0.10307399183511734
weather,Time-MoE,FSS_spearman_h96_score,-0.4083323732639222
weather,Time-MoE,PDS_spearman_mae_h96_score,-0.06687242504005492
weather,Time-MoE,LTC_step,1.3971529006958008
weather,Time-MoE,LTC_dir,-0.4230250418186188
weather,UniTime,LCS_clean,-0.11084683239459991
weather,UniTime,LCS_noise,-0.11084683239459991
weather,UniTime,LCS_mask,-0.11084683239459991
weather,UniTime,LCS_warp,0.0
weather,UniTime,TSI_noise,1.0
weather,UniTime,TSI_mask,1.0
weather,UniTime,TSI_warp,0.0
weather,UniTime,GSP_noise,0.0
weather,UniTime,GSP_mask,0.0
weather,UniTime,GSP_warp,-0.11084683239459991
weather,UniTime,FSS_spearman_h96_score,-0.9755864925403418
weather,UniTime,PDS_spearman_mae_h96_score,-0.5315704394598306
weather,UniTime,LTC_step,2.6751155853271484
weather,UniTime,LTC_dir,-0.43273478746414185
weather,VisionTS,LCS_clean,-0.14631107449531555
weather,VisionTS,LCS_noise,-0.14631107449531555
weather,VisionTS,LCS_mask,-0.14631107449531555
weather,VisionTS,LCS_warp,0.0
weather,VisionTS,TSI_noise,1.0
weather,VisionTS,TSI_mask,1.0
weather,VisionTS,TSI_warp,0.0
weather,VisionTS,GSP_noise,0.0
weather,VisionTS,GSP_mask,0.0
weather,VisionTS,GSP_warp,-0.14631107449531555
weather,VisionTS,FSS_spearman_h96_score,-0.6897272592343003
weather,VisionTS,PDS_spearman_mae_h96_score,-0.09369349393453877
weather,VisionTS,LTC_step,0.6153048276901245
weather,VisionTS,LTC_dir,-0.450033038854599
weather,moment,LCS_clean,-0.04116009920835495
weather,moment,LCS_noise,-0.04116009920835495
weather,moment,LCS_mask,-0.04116009920835495
weather,moment,LCS_warp,0.0
weather,moment,TSI_noise,1.0
weather,moment,TSI_mask,1.0
weather,moment,TSI_warp,0.0
weather,moment,GSP_noise,0.0
weather,moment,GSP_mask,0.0
weather,moment,GSP_warp,-0.04116009920835495
weather,moment,FSS_spearman_h96_score,-0.17371337632459882
weather,moment,PDS_spearman_mae_h96_score,-0.03442936026550698
weather,moment,LTC_step,1.9822330474853516
weather,moment,LTC_dir,-0.5263665914535522
weather,tirex,LCS_clean,-0.13768184185028076
weather,tirex,LCS_noise,-0.13768184185028076
weather,tirex,LCS_mask,-0.13768184185028076
weather,tirex,LCS_warp,0.0
weather,tirex,TSI_noise,1.0
weather,tirex,TSI_mask,1.0
weather,tirex,TSI_warp,0.0
weather,tirex,GSP_noise,0.0
weather,tirex,GSP_mask,0.0
weather,tirex,GSP_warp,-0.13768184185028076
weather,tirex,FSS_spearman_h96_score,-0.8051055103885354
weather,tirex,PDS_spearman_mae_h96_score,0.03135371366445411
weather,tirex,LTC_step,2.819791316986084
weather,tirex,LTC_dir,-0.5841821432113647
weather,uni2ts,LCS_clean,-0.1757901906967163
weather,uni2ts,LCS_noise,-0.1757901906967163
weather,uni2ts,LCS_mask,-0.1757901906967163
weather,uni2ts,LCS_warp,0.0
weather,uni2ts,TSI_noise,1.0
weather,uni2ts,TSI_mask,1.0
weather,uni2ts,TSI_warp,0.0
weather,uni2ts,GSP_noise,0.0
weather,uni2ts,GSP_mask,0.0
